84.8,82.4,81.2,88.0,84.4
85.2,82.4,79.2,86.4,84.5
84.4,82.8,80.4,86.0,84.4
85.2,82.8,81.6,86.4,84.9
85.2,83.6,79.6,86.0,84.5
85.6,83.2,80.4,86.0,84.8
84.8,82.8,81.6,87.6,84.4
84.8,82.8,80.0,87.2,84.4
84.4,83.2,80.4,87.2,84.6
84.4,83.2,78.8,86.4,84.3
84.8,83.2,79.2,86.0,84.3
84.8,82.4,80.4,86.0,84.9
84.8,82.8,79.6,86.4,85.0
84.4,83.2,79.6,87.6,84.2
86.4,83.2,80.4,87.2,84.8
84.4,83.6,81.2,86.0,84.7
85.2,82.0,81.2,86.0,84.3
84.8,82.4,79.6,85.6,84.4
85.6,82.8,81.6,86.8,84.4
84.4,82.4,81.2,86.4,84.9
84.8,82.4,79.2,86.8,84.2
84.8,82.8,79.2,86.0,84.3
84.4,83.2,80.0,86.4,84.5
85.2,82.4,81.2,86.0,84.8
84.4,82.8,81.6,85.6,84.6
83.6,82.4,80.8,86.0,84.6
84.8,84.4,80.8,86.0,85.2
84.8,82.4,80.4,87.2,84.6
83.6,83.2,82.0,86.8,84.4
84.8,83.2,80.8,86.8,84.3
84.8,82.8,81.2,86.8,84.6
85.6,81.2,80.4,86.0,84.6
85.6,82.8,78.0,87.6,84.4
85.2,83.6,80.0,86.8,84.4
84.0,82.8,80.0,87.2,84.4
83.2,83.2,78.4,86.8,84.4
84.0,82.4,80.0,85.6,84.0
84.8,80.8,79.2,86.4,84.5
86.0,82.4,81.6,87.2,84.6
84.8,83.6,81.2,86.4,84.3
83.2,82.0,79.6,85.6,84.5
83.6,82.4,80.0,85.6,84.2
84.0,83.2,79.6,87.2,84.5
85.2,83.2,80.4,87.6,84.7
85.2,81.6,81.2,85.6,85.1
83.6,82.0,79.6,86.4,84.5
84.8,83.2,78.8,86.4,84.9
85.6,81.6,82.0,86.0,84.3
85.2,82.0,80.4,85.6,84.4
87.6,80.8,80.4,86.4,84.4
