
73.6,66.8,72.0,78.4,73.2
72.0,66.4,72.0,81.6,73.4
78.4,65.6,76.0,85.2,76.1
74.4,65.6,71.6,85.2,74.2
73.2,66.8,69.6,83.6,74.8
72.4,60.8,72.4,80.8,71.6
80.4,69.6,75.6,82.4,76.7
74.0,68.0,76.4,83.6,76.2
71.6,65.6,68.4,78.8,71.9
76.8,71.2,74.4,81.2,77.3
76.8,68.4,74.4,80.8,75.4
77.2,66.0,78.4,80.0,75.1
75.6,70.8,71.6,82.8,75.4
71.2,65.6,74.4,80.4,73.6
74.4,68.0,72.0,78.0,72.8
76.0,65.2,73.6,84.0,74.6
75.2,63.2,72.0,81.2,72.8
77.6,67.6,76.4,78.8,75.6
76.0,68.0,76.4,79.2,76.0
74.8,63.6,73.6,76.0,73.6
74.4,66.4,72.4,80.8,74.5
74.8,66.4,74.8,79.2,74.3
76.8,65.2,73.2,81.6,74.3
80.8,66.8,72.8,77.2,74.1
76.8,64.8,74.0,82.0,74.9
73.6,70.0,72.4,83.6,75.4
74.0,64.8,72.4,81.2,73.4
77.2,64.4,76.0,80.0,75.5
77.2,71.2,74.8,78.4,75.6
75.2,64.4,70.0,86.0,73.2
82.8,65.6,72.4,82.4,75.1
73.2,70.0,74.4,82.4,75.5
75.6,67.2,72.4,79.2,74.5
76.8,66.8,72.4,81.2,74.3
76.4,65.2,72.8,84.4,74.0
80.4,62.4,74.8,78.8,74.3
78.0,64.0,76.0,83.6,74.9
74.4,63.2,68.0,80.0,72.3
71.2,68.4,71.6,82.4,73.8
78.0,65.6,66.4,78.4,73.1
75.6,68.8,75.6,79.6,75.6
77.6,66.8,79.6,76.4,75.2
74.0,66.8,72.0,81.2,75.3
78.4,68.0,72.4,77.2,75.1
71.6,70.0,75.2,79.6,74.3
72.4,64.0,72.8,82.4,73.6
76.4,68.0,74.4,83.2,76.5
76.4,67.2,71.6,80.0,72.9
74.8,65.2,73.6,80.8,73.8
73.6,65.6,74.4,84.4,74.7
75.2,70.8,69.6,79.6,73.3
74.8,68.8,80.0,81.2,76.4
76.8,63.6,73.6,81.6,74.7
74.8,67.6,75.2,78.4,75.8
72.0,69.6,74.8,83.6,75.5
74.4,63.2,73.2,86.4,74.7
74.0,69.6,74.4,83.6,74.7
77.2,68.8,74.4,83.2,75.2
72.8,69.6,72.0,83.6,75.8
76.0,69.2,73.6,83.2,75.5
71.2,68.4,71.2,79.2,73.4
76.8,67.2,72.8,82.8,75.3
73.6,66.8,72.0,77.6,73.6
76.0,64.0,71.2,83.2,72.8
77.2,62.8,76.4,80.0,74.2
71.2,64.8,72.0,82.0,74.6
78.4,67.2,78.0,80.8,76.1
76.0,67.6,68.8,80.8,73.9
74.4,68.4,73.6,76.8,74.4
75.6,69.2,76.0,79.2,75.5
74.4,66.0,70.0,79.2,72.5
76.8,65.2,74.8,79.6,74.6
77.2,66.8,75.2,80.8,76.4
73.2,68.0,70.8,83.6,74.5
76.4,64.8,71.6,80.8,73.9
74.0,66.8,67.6,78.4,73.0
73.6,67.6,71.2,79.2,73.4
71.2,67.6,72.4,81.2,73.3
77.2,69.2,73.2,82.4,74.9
72.0,63.6,70.4,80.4,72.3
76.4,65.2,73.2,84.0,75.6
75.6,69.6,75.6,84.4,76.2
80.8,69.2,74.0,81.6,76.3
74.8,68.8,74.8,77.2,73.6
74.4,66.8,74.8,85.6,75.9
76.4,66.8,74.8,82.0,75.5
70.4,71.2,74.0,80.8,75.1
78.0,66.4,73.2,83.2,75.1
77.6,68.0,74.8,79.6,75.5
74.0,66.4,67.6,80.8,74.3
77.2,65.2,76.4,83.6,74.7
72.8,65.6,75.6,81.6,74.2
74.4,64.4,73.6,79.6,73.6
77.2,67.6,74.0,81.2,74.4
77.6,68.8,74.0,79.6,76.2
73.6,66.8,72.0,80.8,72.9
71.6,65.2,75.2,80.0,73.4
72.8,69.6,72.0,81.2,74.7
79.2,66.4,74.8,81.2,74.7
76.0,64.8,77.2,81.2,75.2
